path,bytes,sha256,reference_status,consumers,dimensions,provenance
ios/Nudge/Assets.xcassets/hand_sparkles_tingling.imageset/hand_sparkles_tingling.png,1318050,e136d7f50df025e6516c52a418df081a3c8873a5d7a3e202ca0fd6666a111230,source token matches,ios/Nudge/Models/LifeModels.swift; web/src/sano/lifeLibrary.ts,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/hands_planting_sprout.imageset/hands_planting_sprout.png,1582610,2af3b0f4cb54cafebbd80cb9ba1384e958e61fa8abc18bd33ebcb365c62202ab,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/hands_supporting_knee.imageset/hands_supporting_knee.png,1490606,96cb1ddf5013bd12f33db9c89888e29d58fb5fa6cba0ec7adda0da958b223276,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/hiking_boots_walking_pole.imageset/hiking_boots_walking_pole.png,1576384,7b348de91c1eeb0d8499b85ae6ce332da25f579bf1ca1407f06b5a5b31a20ce0,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/hinge_joint_clay.imageset/hinge_joint_clay.png,1246725,ddb1b5a07c55c52f5a3b12a77fc476489063219945e2b4ca554b354f49ffd935,source token matches,ios/Nudge/Models/LifeModels.swift; web/src/sano/lifeLibrary.ts,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/joint_swelling_glow.imageset/joint_swelling_glow.png,1466399,a59bf79c596d2c54c5035a1ee3126658ff67d24da0d40fdb1a2349732f733adf,source token matches,ios/Nudge/Models/LifeModels.swift; web/src/sano/lifeLibrary.ts,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/kettlebell_clay.imageset/kettlebell_clay.png,1414935,713e7982b7b69d4ccc00e39c0fa51522dd71ac076c5ce0be13b13f88e97f16c5,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/knee_joint_pain.imageset/knee_joint_pain.png,1315964,29f665383ff3416b6f3a9f63ef0f70f36338d7c636f7f7360e72242fb606b3ed,source token matches,ios/Nudge/Models/LifeModels.swift; web/src/sano/lifeLibrary.ts,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/leaf_rake_with_pile.imageset/leaf_rake_with_pile.png,1631321,012b13036cf1f4b483429a73d8003969026712d68ba0875f59eff748f4d99e6b,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/leg_cramp_muscle.imageset/leg_cramp_muscle.png,1357426,659633d8fafb5bb7879ff72eca940173e73218696921af12fe0ac9c8bfffd9c0,source token matches,ios/Nudge/Models/LifeModels.swift; web/src/sano/lifeLibrary.ts,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/leg_quad_extension.imageset/leg_quad_extension.png,1226517,a9d44a93fbf038ee6d2b9720a613b42292383ca0f761f7058d4509b12f730e32,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/lentil_soup_bowl.imageset/lentil_soup_bowl.png,1615480,12ec9a2985bce3b7b5e88f8f66cd11771d7b78b6ff5537380fac486c6121a2b2,source token matches,ios/Nudge/Models/LifeModels.swift; ios/Nudge/ViewModels/AppModel.swift; web/src/sano/fixtures.ts; web/src/sano/lifeLibrary.ts; web/src/sano/screens/shared.tsx,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/lips_mouth_tender.imageset/lips_mouth_tender.png,1494381,4acb8dfbe6a1e65144b8378ee1b691fd661e21704a06b91dbf8b0a5c72b25231,source token matches,ios/Nudge/Models/LifeModels.swift; web/src/sano/lifeLibrary.ts,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/medicine_bottle_pills.imageset/medicine_bottle_pills.png,1320010,223694d0e6d84caec8e0af0ebf344d65236637b2a701d63951c55f7e6aea0a0a,source token matches,ios/Nudge/Models/LifeModels.swift; ios/Nudge/Views/Log/QuickLogView.swift; web/src/sano/lifeLibrary.ts; web/src/sano/screens/QuickLog.tsx; web/src/sano/screens/Today.tsx; web/src/sano/screens/shared.tsx,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/medicine_bottle_tablets.imageset/medicine_bottle_tablets.png,1158783,042de4def649e727d4fca27a453ddea31e7eb160e908b25e31615be81ce3ffc9,source token matches,ios/Nudge/Models/LifeModels.swift; web/src/sano/lifeLibrary.ts; web/src/privia/Personal.tsx; web/src/sano/screens/shared.tsx,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/moon_waves_stars_sleep.imageset/moon_waves_stars_sleep.png,1335384,b8d4ca70cccb68bba0ec218d670ea040767b96dc08246dd998f96a5cc17b90aa,source token matches,ios/Nudge/Models/LifeModels.swift; web/src/sano/lifeLibrary.ts,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/notebook_speech_bubble_star.imageset/notebook_speech_bubble_star.png,1225953,4a2650933897bd592b703e691b9d639678e0303b8308d7ed9c744133ee48b920,no static token match; dynamic/persisted references may exist,,774x632 RGBA,Not established by packaging; see handoff family notes
